Sub-County,Total*,per cent,Male,per cent,Female,per cent
MASABA SOUTH,"14,865",13.0,"8,656",16.0,"6,208",10.3
NYAMACHE,"16,225",13.2,"9,353",16.2,"6,872",10.6
SAMETA,"8,156",13.0,"4,824",16.3,"3,332",10.1
NYAMIRA,"90,354",15.9,"51,409",18.9,"38,945",13.2
BORABU,"13,648",19.8,"7,801",22.6,"5,847",17.0
MANGA,"13,535",15.3,"7,792",18.6,"5,743",12.4
MASABA NORTH,"16,755",16.1,"9,583",19.5,"7,172",13.0
NYAMIRA NORTH,"21,089",13.5,"12,178",16.2,"8,911",10.9
NYAMIRA SOUTH,"25,327",17.1,"14,055",19.9,"11,272",14.5
NAIROBI CITY,"2,100,763",52.4,"1,098,800",55.3,"1,001,864",49.5
DAGORETTI,"188,630",47.4,"101,942",51.1,"86,674",43.6
EMBAKASI,"502,164",55.5,"263,960",58.7,"238,186",52.4
KAMUKUNJI,"115,467",47.6,"61,739",50.6,"53,724",44.6
KASARANI,"379,562",53.4,"193,203",56.1,"186,343",50.8
KIBRA,"75,392",44.5,"41,154",48.0,"34,233",40.9
LANG'ATA,"118,899",65.9,"58,595",67.0,"60,302",64.8
MAKADARA,"92,196",52.3,"49,033",54.9,"43,160",49.6
MATHARE,"70,295",37.3,"41,412",42.6,"28,877",31.6
NJIRU,"269,869",47.1,"139,682",49.8,"130,174",44.4
STAREHE,"107,513",59.0,"55,484",61.3,"52,021",56.8
WESTLANDS,"180,776",63.7,"92,596",65.8,"88,170",61.6
